,DEA,CRG,RFO,LEN,CJD,SPH,CJC,SPQ,BRO,SES,ASC,JMJ
2025-05-18 20:30:00,,,,,,,,,,,,
2025-05-18 20:35:00,,,,,,,,,,,,
2025-05-18 20:40:00,0.2,0,0,0,0,0,0,0,0,0,0,0.0
2025-05-18 20:45:00,,,,,,,,,,,,
2025-05-18 20:50:00,,,,,,,,,,,,
2025-05-18 20:55:00,,,,,,,,,,,,
2025-05-18 21:00:00,,,,,,,,,,,,
2025-05-18 21:05:00,0,0,0,0,0.1,0,0,0,0,0.1,0,0.0
2025-05-18 21:10:00,,,,,,,,,,,,
2025-05-18 21:15:00,0.2,0,0,0,0,0,0,0,0,0,0,0.0
2025-05-18 21:20:00,,,,,,,,,,,,
2025-05-18 21:25:00,0,0,0,0,0,0.1,0,0,0,0,0,0.0
2025-05-18 21:30:00,0,0.1,0,0,0,0.1,0,0,0,0,0,0.0
2025-05-18 21:35:00,0,0,0,0.1,0,0,0,0,0,0.1,0,0.1
2025-05-18 21:40:00,0,0,0,0,0,0.1,0,0,0,0,0,0.0
2025-05-18 21:45:00,0,0,0,0.1,0.1,0,0.254,0,0,0,0,0.0
2025-05-18 21:50:00,0,0,0,0.1,0,0,0,0,0,0,0,0.0
2025-05-18 21:55:00,,,,,,,,,,,,
2025-05-18 22:00:00,0,0,0,0,0.1,0,0,0,0,0,0,0.0
2025-05-18 22:05:00,0,0.1,0,0.1,0,0,0,0,0,0,0,0.0
2025-05-18 22:10:00,,,,,,,,,,,,
2025-05-18 22:15:00,0,0,0,0,0.1,0,0,0,0,0,0,0.0
2025-05-18 22:20:00,,,,,,,,,,,,
2025-05-18 22:25:00,0,0,0,0,0.1,0,0,0,0,0,0,0.0
2025-05-18 22:30:00,,,,,,,,,,,,
2025-05-18 22:35:00,,,,,,,,,,,,
2025-05-18 22:40:00,,,,,,,,,,,,
2025-05-18 22:45:00,0,0,0,0.1,0.1,0,0,0,0,0,0,0.0
2025-05-18 22:50:00,,,,,,,,,,,,
2025-05-18 22:55:00,,,,,,,,,,,,
2025-05-18 23:00:00,,,,,,,,,,,,
2025-05-18 23:05:00,,,,,,,,,,,,
2025-05-18 23:10:00,0,0.1,0,0,0.1,0.1,0,0,0,0,0,0.0
2025-05-18 23:15:00,0,0,0,0,0,0,0,0,0.1,0,0,0.0
2025-05-18 23:20:00,0,0,0,0.1,0,0.1,0,0,0,0.1,0,0.1
2025-05-18 23:25:00,0,0,0,0,0,0.1,0,0,0,0,0,0.0
2025-05-18 23:30:00,0,0,0,0.1,0,0,0,0,0,0,0,0.1
2025-05-18 23:35:00,0,0,0,0,0,0.1,0,0,0,0.1,0,0.1
2025-05-18 23:40:00,0,0,0,0.1,0,0.1,0,0.254,0.1,0,0.254,0.1
2025-05-18 23:45:00,0,0.1,0,0,0.1,0,0,0,0,0,0,0.0
2025-05-18 23:50:00,0.2,0,0,0.1,0,0.1,0,0,0.1,0.1,0,0.1
2025-05-18 23:55:00,0,0,0,0.1,0.1,0.1,0.254,0,0,0.1,0,0.0
2025-05-19 00:00:00,0,0,0,0.1,0.1,0,0,0,0.1,0,0,0.0
